G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%
72,0.069,0.079,0.035,0.019,0.112,-0.006,0.039,0.065,0.062,0.001,0.146,0.114,0.022,0.15,0.129,0.134,0.082,-0.038,0.003,-0.122,-0.101,0.093,0.569
67,-0.18,-0.197,-0.194,-0.002,-0.246,-0.204,-0.018,-0.175,-0.187,0.008,-0.143,-0.184,0.038,-0.308,-0.208,-0.233,-0.242,-0.225,-0.186,-0.223,-0.199,-0.194,0.299
82,0.008,0.084,0.073,0.005,0.164,0.193,-0.009,0.051,0.004,0.023,0.112,0.16,-0.032,0.285,0.049,0.1,0.088,0.058,0.204,0.095,0.203,0.097,0.354
82,-0.009,0.002,0.014,-0.005,0.258,0.19,0.019,-0.076,-0.065,-0.006,-0.125,-0.189,0.057,-0.118,-0.036,-0.055,0.004,-0.051,-0.123,-0.014,0.077,0.002,0.293
82,0.003,-0.014,-0.001,-0.006,-0.106,-0.081,-0.009,0.017,0.04,-0.011,0.158,0.245,-0.055,0.24,0.008,0.053,-0.077,-0.1,-0.183,0.055,-0.05,0.003,0.524
82,0.005,0.015,0.033,-0.008,-0.004,0.081,-0.03,0.022,0.011,0.005,-0.05,-0.056,0.005,-0.05,0.062,0.038,-0.005,0.004,0.279,0.051,0.078,0.003,0.585
82,-0.005,0.02,0.002,0.008,0.065,0.017,0.017,0.004,-0.005,0.005,-0.031,-0.026,-0.004,0.003,0.018,0.015,0.034,0.094,0.166,-0.067,-0.076,0.015,0.732
82,-0.001,-0.007,0.007,-0.006,0.088,0.113,-0.008,-0.036,-0.036,0,0.202,0.101,0.066,-0.059,-0.011,-0.022,0.017,0.024,-0.117,0.026,0.071,0.031,0.463
82,0.228,0.27,0.242,0.01,0.435,0.429,0.001,0.228,0.18,0.019,0.13,0.169,-0.025,0.163,0.255,0.233,0.355,0.239,0.218,0.324,0.25,0.26,0.537
66,-0.181,-0.182,-0.168,-0.008,-0.02,-0.068,0.018,-0.215,-0.197,-0.012,-0.238,-0.198,-0.039,-0.144,-0.16,-0.156,-0.178,0.078,-0.111,-0.176,-0.242,-0.182,0.606
82,-0.006,-0.066,-0.055,-0.006,-0.042,-0.019,-0.008,-0.071,-0.064,-0.003,-0.073,-0.097,0.02,-0.214,0.004,-0.058,0.007,-0.16,-0.174,0.141,-0.048,-0.066,0.537
